"Query Name","Hit Contig ID","Hit length","Nb. HSPs","Score ","E Value ","Align. length","Identity","Query Start Position","Query End Position","Query frame","Query Coverage","Hit Start Position","Hit End Position","Hit frame","Hit coverage"
"EarlyHisEnd Positionne","Utg198178_LN:i:496877_RC:i:30_XO:i:0_pilon",479333,47,848,0,1213,90.6%,2428,3624,1,17.8%,87528,88710,1,0.2%
"EarlyHisEnd Positionne","Utg198178_LN:i:496877_RC:i:30_XO:i:0_pilon",479333,47,846,0,1215,90.5%,2428,3624,1,17.8%,60101,61291,1,0.2%
"EarlyHisEnd Positionne","Utg198178_LN:i:496877_RC:i:30_XO:i:0_pilon",479333,47,842,0,1193,90.8%,2448,3624,1,17.5%,80858,82025,1,0.2%
"EarlyHisEnd Positionne","Utg198178_LN:i:496877_RC:i:30_XO:i:0_pilon",479333,47,832,0,1213,90.2%,2428,3624,1,17.8%,74069,75249,1,0.2%
"EarlyHisEnd Positionne","Utg198178_LN:i:496877_RC:i:30_XO:i:0_pilon",479333,47,795,0,810,99.4%,816,1625,1,12.1%,93289,92480,-1,0.2%
"EarlyHisEnd Positionne","Utg198178_LN:i:496877_RC:i:30_XO:i:0_pilon",479333,47,792,0,946,94.9%,2428,3364,1,14%,67016,67950,1,0.2%
"EarlyHisEnd Positionne","Utg198178_LN:i:496877_RC:i:30_XO:i:0_pilon",479333,47,747,0,794,98.2%,1,793,1,11.8%,31156,31940,1,0.2%
"EarlyHisEnd Positionne","Utg198178_LN:i:496877_RC:i:30_XO:i:0_pilon",479333,47,747,0,794,98.2%,1,793,1,11.8%,37830,38615,1,0.2%
"EarlyHisEnd Positionne","Utg198178_LN:i:496877_RC:i:30_XO:i:0_pilon",479333,47,747,0,794,98.2%,1,793,1,11.8%,44513,45298,1,0.2%
"EarlyHisEnd Positionne","Utg198178_LN:i:496877_RC:i:30_XO:i:0_pilon",479333,47,747,0,794,98.2%,1,793,1,11.8%,51192,51977,1,0.2%
"EarlyHisEnd Positionne","Utg198178_LN:i:496877_RC:i:30_XO:i:0_pilon",479333,47,733,0,794,97.7%,1,793,1,11.8%,57826,58606,1,0.2%
"EarlyHisEnd Positionne","Utg198178_LN:i:496877_RC:i:30_XO:i:0_pilon",479333,47,730,0,794,97.6%,1,793,1,11.8%,24483,25264,1,0.2%
"EarlyHisEnd Positionne","Utg198178_LN:i:496877_RC:i:30_XO:i:0_pilon",479333,47,726,0,878,94.8%,1016,1869,1,12.7%,65518,66392,1,0.2%
"EarlyHisEnd Positionne","Utg198178_LN:i:496877_RC:i:30_XO:i:0_pilon",479333,47,664,0,807,94.5%,1,798,1,11.9%,17841,18634,1,0.2%
"EarlyHisEnd Positionne","Utg198178_LN:i:496877_RC:i:30_XO:i:0_pilon",479333,47,604,0,639,98.4%,1,638,1,9.5%,91847,92477,1,0.1%
"EarlyHisEnd Positionne","Utg198178_LN:i:496877_RC:i:30_XO:i:0_pilon",479333,47,572,0,765,92.2%,1,754,1,11.2%,64543,65293,1,0.2%
"EarlyHisEnd Positionne","Utg198178_LN:i:496877_RC:i:30_XO:i:0_pilon",479333,47,572,0,765,92.2%,1,754,1,11.2%,71726,72476,1,0.2%
"EarlyHisEnd Positionne","Utg198178_LN:i:496877_RC:i:30_XO:i:0_pilon",479333,47,569,0,765,92%,1,754,1,11.2%,78476,79226,1,0.2%
"EarlyHisEnd Positionne","Utg198178_LN:i:496877_RC:i:30_XO:i:0_pilon",479333,47,564,0,766,91.8%,1,754,1,11.2%,85185,85936,1,0.2%
"EarlyHisEnd Positionne","Utg198178_LN:i:496877_RC:i:30_XO:i:0_pilon",479333,47,500,0,547,97.4%,248,793,1,8.1%,93801,93263,-1,0.1%
